8	awwwards-winner-12-com	pin
8	awwwards-winner-14-com	editorial
8	awwwards-winner-18-com	3d
8	awwwards-winner-23-com	grid-brutal
8	awwwards-winner-26-com	grid-brutal
8	awwwards-winner-33-com	luxury
8	awwwards-winner-36-com	playful
8	awwwards-winner-37-com	luxury
8	awwwards-winner-45-com	pin
8	awwwards-winner-46-com	horizontal
8	awwwards-winner-49-com	pin
8	awwwards-winner-59-com	webgl
8	awwwards-winner-61-com	scrollytelling
8	awwwards-winner-62-com	luxury
8	awwwards-winner-67-com	pin
8	awwwards-winner-76-com	scrollytelling
8	awwwards-winner-78-com	webgl
8	awwwards-winner-84-com	editorial
8	basement-studio	editorial
8	hellomonday-com	scrollytelling
8	jacquemus-com	editorial
8	raycast-com	playful
5	aesop-com	grid-brutal
5	awwwards-winner-34-com	ecommerce
5	awwwards-winner-35-com	portfolio
5	awwwards-winner-51-com	portfolio
5	awwwards-winner-55-com	portfolio
5	awwwards-winner-5-com	scrollytelling
5	awwwards-winner-68-com	scrollytelling
5	awwwards-winner-8-com	luxury
5	futurefonts-xyz	webgl
5	klim-co-nz	scrollytelling
5	resn-co-nz	horizontal
3	ignis-verborum-dragon	3d-webgl
